Start Count;End Count;Improvement Count;Starting Positions;Move Sequence;Move Count;Value
0;1;1;;U;1;1.00
1;2;1;K1;R Fb;2;0.50
2;3;1;K1-K4;B Rb;2;0.50
3;4;1;E3-K1-K4;Db B;2;0.50
1;2;1;E3;L;1;1.00
2;3;1;E1-E3;Db L D Lb;4;0.25
3;4;1;E1-E3-E4;Bb U Bb Ub L B;6;0.17
1;2;1;E3;Lb;1;1.00
2;3;1;E3-K1;Db Db B;3;0.33
3;4;1;E2-E3-K1;Fb Db F;3;0.33
0;1;1;;Bb;1;1.00
1;3;2;E2;D L L;3;0.67
3;4;1;E1-E2-E4;Lb Fb Fb L;4;0.25
1;3;2;K2;Fb;1;2.00
3;4;1;E3-K2-K4;L L;2;0.50
1;2;1;E1;R;1;1.00
2;3;1;E1-E3;Bb D D B;4;0.25
3;4;1;E1-E2-E3;Ub F U Lb;4;0.25
0;2;2;;L;1;2.00
3;4;1;E1-E4-K1;R;1;1.00
2;3;1;K2-K4;Rb Db Lb;3;0.33
3;4;1;E4-K2-K4;Db Rb;2;0.50
1;2;1;K4;Db Lb;2;0.50
2;3;1;E4-K4;Rb Rb;2;0.50
3;4;1;E4-K3-K4;D B;2;0.50
1;2;1;E4;Bb Rb;2;0.50
2;3;1;E4-K3;Db Bb Bb;3;0.33
1;2;1;E1;F R;2;0.50
2;3;1;E1-E3;L Ub Fb U;4;0.25
3;4;1;E1-E3-K1;L Bb Lb;3;0.33
1;2;1;K3;B L;2;0.50
2;3;1;E4-K3;Bb;1;1.00
3;4;1;E2-E4-K3;D Lb D L;4;0.25
0;1;1;;Lb;1;1.00
1;3;2;E1;Lb Ub L;3;0.67
3;4;1;E1-E2-K4;D Rb Db R;4;0.25
2;3;1;E2-E4;Rb B R;3;0.33
0;1;1;;Fb R;2;0.50
1;2;1;E3;L L;2;0.50
2;3;1;E1-E3;Bb L B;3;0.33
3;4;1;E1-E3-K1;Db R Db Rb;4;0.25
2;3;1;E2-K2;Fb Fb;2;0.50
0;1;1;;R Ub;2;0.50
2;3;1;E4-K2;Lb Rb D L;4;0.25
3;4;1;E1-E4-K2;R R;2;0.50
1;2;1;E4;D Rb;2;0.50
2;3;1;E2-E4;D Lb Db L;4;0.25
3;4;1;E1-E2-E4;Bb D B Rb;4;0.25
3;4;1;E3-E4-K4;D B B;3;0.33
2;4;2;E3-K3;L;1;2.00
0;1;1;;B;1;1.00
1;2;1;E1;Fb Fb;2;0.50
2;4;2;E1-K4;R;1;2.00
2;3;1;E1-E3;Fb Db F;3;0.33
1;2;1;E3;L Bb;2;0.50
3;4;1;E2-E3-E4;D F Lb Fb;4;0.25
1;2;1;E4;B;1;1.00
3;4;1;E1-E2-E4;B R Bb;3;0.33
2;3;1;K1-K3;F;1;1.00
1;2;1;E3;Db B;2;0.50
2;3;1;E2-E3;D L L;3;0.33
2;3;1;E3-E4;Bb D Bb Bb;4;0.25
3;4;1;E2-E3-E4;F L Fb;3;0.33
1;2;1;E4;Rb D Rb;3;0.33
2;3;1;E2-E4;F Db L Fb;4;0.25
3;4;1;E1-K1-K4;Ub Bb U;3;0.33
0;1;1;;Ub;1;1.00
2;3;1;E1-K3;Fb;1;1.00
3;5;2;E1-E4-K3;Ub R U Fb;4;0.50
1;2;1;K1;Rb;1;1.00
2;3;1;E2-K1;Db Fb;2;0.50
3;4;1;E2-E3-K1;Lb Db L;3;0.33
2;3;1;E2-K3;Lb;1;1.00
3;4;1;E1-E2-K3;Fb Fb;2;0.50
3;4;1;E3-K1-K3;Db L D Lb;4;0.25
1;2;1;E3;Lb Bb;2;0.50
2;3;1;E3-K2;B D D Bb;4;0.25
3;4;1;E1-E3-K2;Db R D Rb;4;0.25
0;1;1;;B B;2;0.50
3;4;1;E4-K2-K3;D F Db L Fb;5;0.20
3;4;1;E2-K3-K4;L;1;1.00
1;2;1;E2;F Lb;2;0.50
2;3;1;E2-K1;D F;2;0.50
3;4;1;E2-E4-K1;B Db Bb;3;0.33
2;3;1;E2-E3;Db Lb Lb;3;0.33
1;2;1;E1;R R;2;0.50
2;3;1;E1-E2;Db L Db Lb;4;0.25
3;4;1;E1-E2-E4;Lb F L;3;0.33
3;4;1;E1-E2-E4;B R R Bb;4;0.25
3;4;1;E1-K2-K4;B Rb Bb;3;0.33
1;2;1;E4;D B;2;0.50
2;3;1;E2-E4;Lb F L;3;0.33
3;4;1;E2-E4-K4;Ub L U Bb;4;0.25
3;4;1;E1-E3-K1;Fb R F;3;0.33
1;2;1;E4;B B;2;0.50
2;3;1;E2-E4;B R R Bb;4;0.25
1;2;1;E2;L L F;3;0.33
3;4;1;E2-E3-K1;Rb Bb R;3;0.33
1;2;1;K3;D Fb;2;0.50
2;4;2;E3-K3;Db L Bb;3;0.67
2;3;1;E1-E3;L B D D Lb;5;0.20
3;4;1;E1-E3-E4;R Lb F Rb L;5;0.20
0;1;1;;Rb Fb;2;0.50
2;3;1;E2-E4;Lb Db Db L;4;0.25
2;3;1;K1-K2;Rb F R;3;0.33
3;4;1;E1-E3-K1;D Fb Db F;4;0.25
3;4;1;E1-E4-K4;Rb D Rb;3;0.33
1;2;1;K3;D F;2;0.50
2;3;1;E4-K3;Bb D Bb;3;0.33
3;4;1;E3-K1-K2;Fb Rb F;3;0.33
2;3;1;E2-K2;L F;2;0.50
3;4;1;E2-E4-K2;Fb L F Lb F;5;0.20
3;4;1;E2-E4-K1;B Db Db Bb;4;0.25
0;1;1;;Rb Rb;2;0.50
2;3;1;E1-E3;L Bb Lb;3;0.33
3;4;1;E1-E3-K2;Bb L L B;4;0.25
0;1;1;;Ub Ub;2;0.50
3;4;1;E2-E4-K4;Rb D Bb R;4;0.25
3;4;1;E1-E3-K3;D Bb D B;4;0.25
2;3;1;E1-E3;Fb Db Db F;4;0.25
2;4;2;E1-E4;D D R R;4;0.50
2;3;1;E2-E4;Bb D B Rb;4;0.25
0;1;1;;Bb Ub;2;0.50
3;4;1;E2-E3-E4;D Lb Db L;4;0.25
2;3;1;E1-E3;D Bb Db B;4;0.25
3;4;1;E1-E2-E3;Fb B Rb Rb F Bb;6;0.17
3;4;1;E4-K2-K4;D Rb;2;0.50
0;2;2;;L U;2;1.00
3;4;1;E1-E4-K3;Bb D B;3;0.33
2;3;1;E1-E3;D Bb Lb B;4;0.25
3;4;1;E1-E3-E4;R Db Rb Fb Rb F;6;0.17
2;3;1;E1-E4;Db Db Rb;3;0.33
3;4;1;E2-E4-K2;Lb F Db L;4;0.25
3;4;1;E2-E4-K4;F Lb Fb;3;0.33
3;4;1;E1-E2-E4;R D Rb Db Rb;5;0.20
2;3;1;E3-K2;Lb Lb;2;0.50
3;4;1;E3-E4-K2;Ub R F Rb U;5;0.20
2;3;1;E3-K4;L Bb;2;0.50
3;4;1;E1-E3-K4;L U Bb Ub;4;0.25
2;3;1;E1-E3;Lb B L D Bb;5;0.20
3;4;1;E1-E2-E3;D Bb L L B;5;0.20
2;3;1;E3-E4;B D Bb;3;0.33
0;1;1;;Rb;1;1.00
2;4;2;E2-E3;Bb Rb U R;4;0.50
3;4;1;E1-E2-E3;L Db Db Lb;4;0.25
3;4;1;E1-E4-K4;R B Rb Bb;4;0.25
1;2;1;E1;Db Db R;3;0.33
0;1;1;;Fb U;2;0.50
3;4;1;E1-E2-E4;Db Fb Db F D F;6;0.17
3;4;1;E2-E4-K1;Lb D Fb L;4;0.25
1;2;1;K3;Bb;1;1.00
3;4;1;E2-K1-K3;F F Db F;4;0.25
2;3;1;E1-E4;U Fb Ub;3;0.33
2;3;1;E2-E4;D Rb B R;4;0.25
3;4;1;E2-E4-K2;F L L Fb;4;0.25
3;4;1;E1-E2-K4;D Rb D R;4;0.25
2;3;1;E1-E2;Rb D D R;4;0.25
2;3;1;E1-E4;Ub Bb U;3;0.33
1;2;1;E4;B Rb;2;0.50
0;1;1;;F U;2;0.50
2;3;1;E1-E3;L Bb Bb Lb;4;0.25
3;4;1;E1-E2-E4;Ub L B Lb U;5;0.20
3;4;1;E2-E3-E4;B Fb R F Bb;5;0.20
2;4;2;E2-E4;Ub L U Bb;4;0.50
3;4;1;E4-K2-K4;Rb D Rb Rb;4;0.25
2;3;1;E2-E4;B Rb Bb;3;0.33
3;4;1;E1-E3-E4;Lb R Fb Rb L;5;0.20
3;4;1;E1-E3-E4;D D Fb Rb Rb F;6;0.17
1;2;1;K3;Fb Lb;2;0.50
3;4;1;E1-E3-K3;Bb Db B;3;0.33
3;4;1;E2-K1-K2;Fb D Fb;3;0.33
1;2;1;E1;Db F;2;0.50
2;3;1;E1-E3;Bb Lb Db Db B;5;0.20
3;4;1;E1-E2-E3;Bb Db Lb D Lb B;6;0.17
2;3;1;E2-E4;B Db R Bb;4;0.25
1;2;1;E3;Db Bb;2;0.50
2;3;1;K1-K3;Ub Lb U;3;0.33
3;4;1;E1-E3-E4;Fb Ub B U F;5;0.20
3;4;1;E1-E2-K1;Db Db F;3;0.33
3;4;1;E4-K1-K3;Bb D B B;4;0.25
3;4;1;E2-E3-K4;Lb;1;1.00
3;4;1;E2-E3-E4;Lb D L B D Bb;6;0.17
3;4;1;E1-E2-E4;F L Db Db Lb Fb;6;0.17
2;4;2;E1-E2;D F F;3;0.67
1;2;1;E3;Bb L;2;0.50
3;4;1;E2-E4-K1;Db Lb F L;4;0.25
3;4;1;E2-E3-E4;Lb U B Ub;4;0.25
1;2;1;K2;D D Lb;3;0.33
3;4;1;E3-K1-K2;Fb D Rb F;4;0.25
0;1;1;;Ub F;2;0.50
2;3;1;E4-K1;B;1;1.00
